,Name,Area,Furnishing,Transaction,Status,Price
629,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
630,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
631,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
632,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
633,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
634,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
635,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
636,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
637,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
638,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
639,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
640,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
641,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
642,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
643,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
644,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
645,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
646,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
647,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
648,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
649,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
650,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
651,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
652,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
653,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
654,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
655,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
656,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
657,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
658,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
659,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
660,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
661,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
662,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
663,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
664,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
665,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
666,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
667,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
668,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
669,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
670,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
671,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
672,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
673,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
674,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
675,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
676,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
677,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
678,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
679,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
680,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
681,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
682,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
683,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
684,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
685,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
686,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
687,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
688,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
689,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
690,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
691,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
692,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
693,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
694,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
695,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
696,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
697,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
698,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
699,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
700,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
701,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
702,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
703,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
704,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
705,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
706,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
707,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
708,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
709,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
710,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
711,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
712,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
713,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
714,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
715,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
716,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
717,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
718,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
719,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
720,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
721,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
722,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
723,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
724,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
725,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
726,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
727,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
728,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
729,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
730,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
731,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
732,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
733,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
734,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
735,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
736,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
737,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
738,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
739,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
740,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
741,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
742,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
743,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
744,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
745,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
746,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
747,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
748,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
749,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
750,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
751,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
752,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
753,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
754,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
755,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
756,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
757,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
758,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
759,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
760,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
761,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
762,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
763,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
764,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
765,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
766,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
767,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
768,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
769,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
770,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
771,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
772,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
773,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
774,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
775,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
776,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
777,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
778,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
779,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
780,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
781,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
782,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
783,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
784,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
785,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
786,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
787,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
788,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
789,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
790,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
791,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
792,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
793,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
794,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
795,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
796,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
797,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
798,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
799,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
800,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
801,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
802,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
803,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
804,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
805,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
806,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
807,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
808,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
809,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
810,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
811,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
812,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
813,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
814,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
815,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
816,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
817,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
818,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
819,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
820,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
821,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
822,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
823,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
824,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
825,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
826,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
827,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
828,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
829,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
830,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
831,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
832,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
833,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
834,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
835,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
836,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
837,1 BHK Apartment for Sale in Mukundapur Kolkata,272 sqft,,Resale,Ready to Move,₹15 Lac
838,3 BHK Apartment for Sale in Koyla Vihar Vasundhara,1800 sqft,,Resale,Ready to Move,₹1.35 Cr
839,3 BHK Apartment for Sale in Lake Town Kolkata,928 sqft,,,Ready to Move,₹42 Lac
840,4 BHK Apartment for Sale in Sugam Morya,1850 sqft,Unfurnished,Resale,Ready to Move,₹2.38 Cr
841,2 BHK Apartment for Sale in Regent Park Kolkata,525 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
842,2 BHK Apartment for Sale in Parvati Garden,705 sqft,Unfurnished,Resale,Ready to Move,₹32 Lac
843,3 BHK Apartment for Sale in Multicon Estelle,1612 sqft,Unfurnished,Resale,Ready to Move,₹2.25 Cr
844,2 BHK Apartment for Sale in Golpark Cooperative Housing Society,980 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
845,2 BHK Apartment for Sale in Shyam Vihar Phase 2,850 sqft,Semi-Furnished,Resale,Ready to Move,₹38 Lac
846,Office Space for Sale in Ballygunge Kolkata,268 sqft,Semi-Furnished,Resale,Ready to Move,₹45 Lac
847,Shop for Sale in Vip Road Kolkata,580 sqft,Semi-Furnished,Resale,Ready to Move,₹55 Lac
848,3 BHK Apartment for Sale in Urban Heights,1241 sqft,Semi-Furnished,Resale,Ready to Move,₹1.25 Cr
849,3 BHK House for Sale in Thakurpukur Kolkata,1836 sqft,Unfurnished,Resale,Ready to Move,₹85 Lac
850,2 BHK Apartment for Sale in Rajarhat Kolkata,1140 sqft,Semi-Furnished,Resale,Ready to Move,₹1.60 Cr
851,2 BHK Apartment for Sale in Batanagar Kolkata,580 sqft,Furnished,Resale,Ready to Move,₹35 Lac
852,2 BHK Builder Floor for Sale in Buroshibtalla,750 sqft,Semi-Furnished,Resale,Ready to Move,₹59 Lac
853,2 BHK Apartment for Sale in Parnasree Palli Kolkata,652 sqft,Unfurnished,Resale,Ready to Move,₹51 Lac
854,3 BHK Apartment for Sale in Baguiati Kolkata,750 sqft,Semi-Furnished,Resale,Ready to Move,₹60 Lac
855,3 BHK Apartment for Sale in Batanagar Kolkata,820 sqft,Semi-Furnished,Resale,Ready to Move,₹42 Lac
856,3 BHK Apartment for Sale in Behala Kolkata,1000 sqft,Unfurnished,Resale,Ready to Move,₹75 Lac
857,3 BHK Apartment for Sale in Behala Chowrasta Kolkata,720 sqft,Unfurnished,Resale,Ready to Move,₹35 Lac
858,3 BHK House for Sale in Haridevpur,1817 sqft,Furnished,Resale,Ready to Move,₹84 Lac
859,3 BHK Apartment for Sale in Motilal Gupta Road Kolkata,1100 sqft,Unfurnished,Resale,Ready to Move,₹30 Lac
860,6 BHK House for Sale in Bangur Avenue,4400 sqft,Unfurnished,Resale,Ready to Move,₹2.80 Cr
861,5 BHK House for Sale in Ballygunge Kolkata,2142 sqft,Unfurnished,Resale,Ready to Move,₹1.45 Cr
862,2 BHK Apartment for Sale in Golf Towers,853 sqft,Semi-Furnished,Resale,Ready to Move,₹85 Lac
863,Showroom for Sale in Kankurgachi Kolkata,1675 sqft,Semi-Furnished,Resale,Ready to Move,₹2.50 Cr
864,Shop for Sale in Meena Florence,386 sqft,Unfurnished,Resale,Ready to Move,₹37 Lac
865,3 BHK Apartment for Sale in Greenfield City Classic Premium,850 sqft,Semi-Furnished,Resale,Ready to Move,₹50 Lac
866,2 BHK Apartment for Sale in Classic Tower,1120 sqft,,Resale,Ready to Move,₹1.50 Cr
